Index,Phylotype,Sub-Phylotype,Sequevar,Sub-sequevar designation,Strainname,Alt Names,"Environmental Source (Soil, Water, unknown plants)",Host Species (Common name),Host Species ,Host Genus,Host Family,Host Order,Year isolated,Latitude,Longitude,Location Isolated,Location (Country or Territory),Location (subcontinent),Location (continent),Imported Location,Genome Accession,Genome Level,Sequencing Tech,egl accession,mutS accession,other accession,Citation,Year published,Data entered by,Comments
2991,IV,,,,A3533,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-6.17555357,106.8272159,Indonesia,Indonesia,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
2992,I,,,,UW500,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-6.17555357,106.8272159,Indonesia,Indonesia,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
2993,I,,,,UW520,,,Syzygium aromaticum (Clove),Syzygium aromaticum,Syzygium,Myrtaceae,Myrtales,,-6.17555357,106.8272159,Indonesia,Indonesia,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams, (Tiffany thinks this phylotype designation is a mistake in the paper)
2994,II,,,,A5684,,,Syzygium aromaticum (Clove),Syzygium aromaticum,Syzygium,Myrtaceae,Myrtales,,-1.5658,102.3602,"Sumatra, Indonesia",Indonesia,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,(TIffany thInks thIs phylotype Is a mIstake In the paper)
2995,II,IIB,1,,UW24,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,31.84726081,34.84199853,Israel,Israel,Western Asia,Asia,,GCA_001696855.1,Contig(124),Illumina,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
2996,III,,,,A5712,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,0.529862477,37.85788187,Kenya,Kenya,Eastern Africa,Africa,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
2997,,,,,A3206,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,51.97246649,5.613490612,Netherlands,Netherlands,Western Europe,Europe,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
2998,III,,23,,UW386,,,Solanum nigrum (Black Nightshade),Solanum nigrum,Solanum,Solanaceae,Solanales,,9.593959887,8.10530641,Nigeria,Nigeria,Western Africa,Africa,,GCA_006088755.1,Complete (2 contigs),PacBio,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
2999,,,,,UW453,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,9.593959887,8.10530641,Nigeria,Nigeria,Western Africa,Africa,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3000,II,,,,UW472,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,9.593959887,8.10530641,Nigeria,Nigeria,Western Africa,Africa,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3001,II,,,,UW3,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,8.704734824,-80.26817517,Panama,Panama,Central America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3002,II,,,,UW471,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3003,II,,,,UW488,,,Solanum americanum (American Black Nightshade),Solanum americanum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3004,I,,,,UW130,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3005,II,,,,UW497,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3006,II,,,,UW475,,,Solanum melongena (Eggplant),Solanum melongena,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3007,II,,,,UW261,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3008,I,,,,UW262,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3009,II,,,,UW451,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3010,II,,,,UW458,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3011,II,,,,UW459,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3012,II,,,,UW460,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3013,,,,,UW473,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3014,II,,,,UW474,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3015,II,,,,UW484,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3016,II,,,,UW485,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3017,,,,,UW487,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3018,I,,,,UW492,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3019,II,,,,UW457,,Soil,,,,,,,-10.15109251,-75.31113196,Peru,Peru,Southern America,South America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3020,I,,,,A3777,,,Arachis hypogaea (Peanut),Arachis hypogaea,Arachis,Fabaceae,Fabales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3021,I,,,,A3780,,,Cucurbita maxima (Squash),Cucurbita maxima,Cucurbita,Cucurbitaceae,Cucurbitales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3022,I,,,,A3772,,,Momordica charantia (Bitter Melon),Momordica charantia,Momordica,Cucurbitaceae,Cucurbitales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3023,II,,,,A4125,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3024,II,,,,A4126,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3025,II,,,,A4127,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3026,II,,,,A4128,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3027,II,,,,A4129,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3028,II,,,,A4130,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3029,I,,,,A4131,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3030,I,,,,A4132,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3031,II,,,,A4520,,,Musa acuminata (Banana),Musa acuminata,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3032,I,,,,A3784,,,Musa textilis (Abaca),Musa textilis,Musa,Musaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3033,I,,,,A3776,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3034,I,,,,A3779,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3035,I,,,,UW197,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,14.58678841,120.9817792,Philippines,Philippines,South-Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3036,II,,,,UW30,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,10.46864301,-61.25317573,Trinidad and Tobago,Republic of Trinidad and Tobago,Caribbean,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3037,III,,,,A5713,,,Pelargonium sp. (Geranium),,Pelargonium,Geraniaceae,Geraniales,,-21.278098,55.376823,"Reunion Island, France",Reunion Island,Eastern Africa,Africa,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3038,I,,,,UW73,,,Solanum tuberosum (Potato),Solanum tuberosum,Solanum,Solanaceae,Solanales,,7.608085219,80.70472725,Sri Lanka,Sri Lanka,Southern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3039,II,,,,UW329,,,Nicotiana tabacum (Tobacco),Nicotiana tabacum,Nicotiana,Solanaceae,Solanales,,23.777978,120.9302294,Taiwan,Taiwan,Eastern Asia,Asia,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3040,II,,,,A5345,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,28.94446471,-82.03362976,"Florida, United States",United States (Continental),Northern America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3041,II,,,,UW576,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,28.94446471,-82.03362976,"Florida, United States",United States (Continental),Northern America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3042,II,,,,A3293,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,35.55688492,-79.38968387,"North Carolina, United States",United States (Continental),Northern America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3043,I,,,,A3294,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,35.55688492,-79.38968387,"North Carolina, United States",United States (Continental),Northern America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3044,II,,,,A5156,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,35.55688492,-79.38968387,"North Carolina, United States",United States (Continental),Northern America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3045,II,,,,UW25,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,35.55688492,-79.38968387,"North Carolina, United States",United States (Continental),Northern America,North America,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3046,I,,,,A3290,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3047,I,,,,A3344,,,Capsicum annuum (Pepper),Capsicum annuum,Capsicum,Solanaceae,Solanales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3048,II,,,,A3787,,,Heliconia sp. (Lobster-claws),,Heliconia,Heliconiaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3049,II,,,,A3903,,,Heliconia sp. (Lobster-claws),,Heliconia,Heliconiaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3050,II,,,,A3904,,,Heliconia sp. (Lobster-claws),,Heliconia,Heliconiaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3051,II,,,,A3910,,,Heliconia sp. (Lobster-claws),,Heliconia,Heliconiaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3052,II,,,,A3913,,,Heliconia sp. (Lobster-claws),,Heliconia,Heliconiaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3053,I,,,,A4071,,,Heliconia sp. (Lobster-claws),,Heliconia,Heliconiaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3054,II,,,,A3343,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3055,I,,,,A4736,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3056,II,,,,A5370,,,Solanum lycopersicum (Tomato),Solanum lycopersicum,Solanum,Solanaceae,Solanales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3057,I,,,,A3786,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3058,I,,,,A4087,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3059,I,,,,A4679,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3060,I,,,,A4734,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3061,I,,,,A4735,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3062,I,,,,A5189,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3063,I,,,,A5190,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3064,I,,,,A5191,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3065,I,,,,A5192,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3066,I,,,,A5193,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3067,I,,,,A5194,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3068,I,,,,A5196,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3069,I,,,,A5197,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3070,I,,,,A5198,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3071,I,,,,A5199,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3072,II,,,,A5281,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3073,II,,,,A5282,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3074,II,,,,A5283,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3075,II,,,,A5284,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3076,I,,,,A5470,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3077,I,,,,A5471,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3078,I,,,,A5472,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3079,I,,,,A5473,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3080,I,,,,A5474,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3081,I,,,,A5475,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3082,I,,,,A5476,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
3083,I,,,,A5477,,,Zingiber officinale (Ginger),Zingiber officinale,Zingiber,Zingiberaceae,Zingiberales,,21.304547,-157.855676,"Hawaii, United States",United States (Hawaii),Polynesia,Oceania,,,,,,,,"Kubota 2011, https://doi.org/10.1007/s10327-011-0305-2",2011,Darrielle Williams,
