geocode_query,longitude,latitude,match_name,status_code,error_message
"Deli, Indonesia, Indonesia",111.92105,-7.968606,"Jeli, 66253, Karangrejo, Tulungagung, East Java, Indonesia",200,NA
"Sumatra, Indonesia, Indonesia",112.54039,-7.509607,"Menanggal, 61382, Mojosari, Mojokerto, East Java, Indonesia",200,NA
"Karo Highland, Indonesia, Indonesia",98.489136,3.101017,"Karo, North Sumatra, Indonesia",200,NA
"West Sumatra, Indonesia, Indonesia",100.363256,-0.924759,"West Sumatra, Indonesia",200,NA
"Bogor, Indonesia, Indonesia",106.80683,-6.608808,"Bogor, West Java, Indonesia",200,NA
"Central Sulawesi, Indonesia, Indonesia",119.867997,-0.895779,"Central Sulawesi, Indonesia",200,NA
"North Sulawesi, Indonesia, Indonesia",124.840767,1.490045,"North Sulawesi, Indonesia",200,NA
"West Java, Indonesia, Indonesia",107.607083,-6.921846,"West Java, Indonesia",200,NA
"Bengal, India, India",88.463455,22.966872,India ، 741235 Kalyani، India,200,NA
"Kumaon, India, India",88.463455,22.966872,India ، 741235 Kalyani، India,200,NA
"Nilgiri, India, India",86.71579,22.963137,"Nilgiri, Ranibandh, Bankura, West Bengal, India",200,NA
Thailand,101.017438,15.127333,Thailand,200,NA
Papua New Guinea,145.241749,-6.478378,Papua New Guinea,200,NA
Vietnam,108.33953700000001,14.315424,Vietnam,200,NA
"Luzon, Philippines, Philippines",126.09387,6.518973,"Luzon, Governor Generoso, Davao Oriental, Philippines",200,NA
"Mindanao, Philippines, Philippines",123.34406,9.644251,"Mindanao, Malabuyoc, Cebu, Philippines",200,NA
Philippines,120.981779,14.586788,Philippines,200,NA
"Visayas, Philippines, Philippines",121.052208,14.508349,"Visayas Street Central Signal Village, Taguig, Philippines",200,NA
"Handessa, Sri Lanka, Sri Lanka",80.582656,7.230638,"Handessa, Udunuwara, Kandy, Sri Lanka",200,NA
"Kurunegala, Sri Lanka, Sri Lanka",80.365005,7.487068,"Kurunegala, Kurunegala, Sri Lanka",200,NA
"Gampaha, Sri Lanka, Sri Lanka",79.994865,7.091594,"Gampaha, Gampaha, Sri Lanka",200,NA
"Marassana, Sri Lanka, Sri Lanka",80.728918,7.222636,"Marassana, Pathahewaheta, Kandy, Sri Lanka",200,NA
Sri Lanka,80.704727,7.608085,Sri Lanka,200,NA
"Gannoruwa, Sri Lanka, Sri Lanka",80.59206,7.282026,"Gannoruwa, Yatinuwara, Kandy, Sri Lanka",200,NA
"Bachok, Kelantan, Malaysia, Malaysia",102.40126,6.061079,"Bachok, Kelantan, Malaysia",200,NA
"Morib, Selangor, Malaysia, Malaysia",101.443023,2.749797,"Morib, Banting, Selangor, Malaysia",200,NA
"Raub, Pahang, Malaysia, Malaysia",101.85729,3.793374,"Raub, Pahang, Malaysia",200,NA
"Hetauda, Nepal, Nepal",85.03106,27.42796,"Hetauda, Bagmati Province, Nepal",200,NA
"Rampur, Nepal, Nepal",83.89566,27.86016,"Rampur, Lumbini Province, Nepal",200,NA
"Gunjanagar, Nepal, Nepal",81.5566,28.855324,"Nepa, Karnali Province, Nepal",200,NA
"Juneliagaon, Nepal, Nepal",81.5566,28.855324,"Nepa, Karnali Province, Nepal",200,NA
"Chanauli, Nepal, Nepal",85.71084,27.26624,"Chanduli, Kapilakot, Sindhuli, Bagmati Province, Nepal",200,NA
"Janakpur, Nepal, Nepal",85.92751,26.727854,"Janakpur, Madhesh Province, Nepal",200,NA
"Raijung, Nepal, Nepal",81.5566,28.855324,"Nepa, Karnali Province, Nepal",200,NA
"Hile, Nepal, Nepal",87.912787,27.046624,"Hile, Maipokhari, Ilam, Koshi Province, Nepal",200,NA
"Lumle, Nepal, Nepal",83.80592,28.297865,"Lumle, Gandaki Province, Nepal",200,NA
"Shandong, China, China",118.196748,35.989453,"Shandong, China",200,NA
"Anhui, China, China",117.34972,31.07295,"Anhui, China",200,NA
"Chiapas, Mexico, Mexico",-98.915561,19.336908,"Calle Chiapas, 56567 Ixtapaluca, Mexico, Mexico",200,NA
"Tabasco, Mexico, Mexico",-98.868931,19.196943,"Tabasco, 56650 Temamatla, Mexico, Mexico",200,NA
"Pasir Mas, Kelantan, Malaysia, Malaysia",102.14322,6.042343,"Pasir Mas, Kelantan, Malaysia",200,NA
"Serdang, Selangor, Malaysia, Malaysia",101.70094,2.991318,"Serdang, Selangor, Malaysia",200,NA
"Mioli, Taiwan, Taiwan",120.49146,22.821308,"瀰力村, 里港鄉, Pingtung County, Taiwan",200,NA
"Nantou, Taiwan, Taiwan",120.977936,23.96789,"泰安, 埔里鎮, Nantou County, Taiwan",200,NA
"Taichung, Taiwan, Taiwan",120.75179,24.32395,"泰安, 421, 后里區, 臺中市, Taichung, Taiwan",200,NA
"Lupuna, Loreto, Peru, Peru",-73.302796,-3.791696,"Calle Lupuna, San Juan Bautista, Loreto, Peru",200,NA
"Cajamarca, Cajamarca, Peru, Peru",-78.521204,-7.161061,"Avenida Perú, Cajamarca, Cajamarca, Peru",200,NA
"Cajamba, Cajamarca, Peru, Peru",-78.817177,-5.711312,"Perú, Jaén, Cajamarca, Peru",200,NA
"Chota, Cajamarca, Peru, Peru",-78.65162,-6.561566,"Chota, Cajamarca, Peru",200,NA
"La Chinana, Junin, Peru, Peru",-75.99905,-11.161686,"Junin, Junin, Peru",200,NA
"Morropon, Piura, Peru, Peru",-80.666891,-5.189354,"Calle Morropón, Veintiseis de Octubre, Piura, Peru",200,NA
"Otuzco, La Libertad, Peru, Peru",-78.564964,-7.903745,"Otuzco, La Libertad, Peru",200,NA
"Umari, Huanuco, Peru, Peru",-76.04452,-9.864655,"Umari, Huanuco, Peru",200,NA
"Yeso, Amazonas, Peru, Peru",-77.871463,-6.229318,"Amazonas, Peru",200,NA
"Yurimaguas, Loreto, Peru, Peru",-76.1079,-5.896007,"Yurimaguas, Loreto, Peru",200,NA
"San Miguel, Junin, Peru, Peru",-78.85127,-7.000643,"San Miguel, Cajamarca, Peru",200,NA
"Andaman and Nicobar Islands, India, India",92.739045,11.664535,"Andaman and Nicobar Islands, India",200,NA
"Kangra, Himachal Pradesh, India, India",76.271286,32.102905,"Kangra, Himachal Pradesh, India",200,NA
"Mandi, Himachal Pradesh, India, India",76.93139,31.708267,"Mandi, Himachal Pradesh, India",200,NA
"Kullu Valley, Himachal Pradesh, India, India",77.10922,31.958448,"Kullu, Himachal Pradesh, India",200,NA
Brazil,-51.619789,-9.588903,Brazil,200,NA
Burundi,29.887146,-3.532454,Burundi,200,NA
Chile,-69.761008,-26.783346,Chile,200,NA
Colombia,-73.129056,3.065088,Colombia,200,NA
Egypt,29.871903,26.494184,Egypt,200,NA
Kenya,37.857882,0.529862,Kenya,200,NA
Mexico,-102.532867,23.950464,Mexico,200,NA
Netherlands,5.613491,51.972466,Netherlands,200,NA
Nigeria,8.105306,9.59396,Nigeria,200,NA
Peru,-75.311132,-10.151093,Peru,200,NA
United Kingdom,-2.36967,54.237933,United Kingdom,200,NA
Uganda,32.386218,1.279964,Uganda,200,NA
Belize,-88.686007,17.216854,Belize,200,NA
"Fujian, China, China",118.002348,26.10072,"Fujian, China",200,NA
"Guangxi, China, China",108.712813,23.657149,"Guangxi, China",200,NA
"Hubei, China, China",112.628581,31.357959,"Hubei, China",200,NA
"Sichuan, China, China",102.519789,31.405377,"Sichuan, China",200,NA
"Zhanjiang, Guangdong, China, China",110.35556,21.274923,"Zhanjiang Shi, Guangdong, China",200,NA
"Guizhou, China, China",106.824357,27.217552,"Guizhou, China",200,NA
"Hunan, China, China",111.128925,28.200995,"Hunan, China",200,NA
"Hebei, China, China",115.440436,38.52543,"Hebei, China",200,NA
"Yunnan, China, China",101.270076,24.291532,"Yunnan, China",200,NA
Costa Rica,-84.200915,10.257794,Costa Rica,200,NA
French Guiana,-53.174392,4.357921,French Guiana,200,NA
Grenada,-61.679377,12.112926,Grenada,200,NA
Venezuela,-65.801997,7.61957,Venezuela,200,NA
"Burma Valley, Zimbabwe, Zimbabwe",29.938669,-19.189459,Zimbabwe,200,NA
"Concession, Zimbabwe, Zimbabwe",30.952824,-17.372672,"Concession, Mashonaland Central, Zimbabwe",200,NA
"Harare, Zimbabwe, Zimbabwe",31.045686,-17.831773,"Harare, Zimbabwe",200,NA
Bolivia,-64.269605,-16.970662,Bolivia,200,NA
"East Malaysia, Malaysia",102.27572,4.496643,Malaysia,200,NA
"Peninsular Malaysia, Malaysia",102.27572,4.496643,Malaysia,200,NA
"Emilia Romagna, Italy, Italy",11.342633,44.49382,"Emilia-Romagna, Italy",200,NA
"Veneto, Italy, Italy",12.33459,45.437191,"Veneto, Italy",200,NA
Cuba,-79.236672,21.946872,Cuba,200,NA
"Havana, Cuba, Cuba",-82.127004,23.122446,"Cuba, La Habana del Este, Havana, Cuba",200,NA
"Pinar del Rio, Cuba, Cuba",-83.69465,22.415295,"Pinar del Río, Pinar del Río, Cuba",200,NA
"Isla de la Juventud, Cuba, Cuba",-82.80566,21.886843,"Isla de la Juventud, Isla de la Juventud, Cuba",200,NA
"Kachwekano, Kabale, Uganda, Uganda",29.990538,-1.256064,"Kabale, Uganda",200,NA
France,2.618787,47.824905,France,200,NA
Morocco,-6.017073,32.350751,Morocco,200,NA
Taiwan,120.930229,23.777978,Taiwan,200,NA
"Hiroshima, Honshu, Japan, Japan",132.46326,34.39292,"広島市, Hiroshima, Japan",200,NA
"Shimane, Japan, Japan",132.851914,35.215059,"Shimane, Japan",200,NA
"Kochi, Japan, Japan",133.819325,33.738568,"Kōchi, Japan",200,NA
